ID,Resume_str,Category
1,"CAD DESIGNER Skills Catia V5 Solidworks Inventor Pro-E Wildfire 4, Creo 2.0 GD T Production floor support Design for Manufacturability Supplier support Professional Experience April 2013 to Current Company Name City , State CAD Designer Team member in Engine Peripheral group 3D design and creation of 2D drawings using Creo 2.0 Process Engineering Change Notices in Teamcenter PDM and JD Edwards software Create complex models of engine intakes, exhausts, style covers, etc. using surfacing Hose routings of engine fluid systems Assembly prints Prototype build support Completed one week advanced surfacing training. September 2007 to March 2013 City , State Oshkosh Defense Senior Designer Team member in Armor and Survivability group 3D design and creation of 2D drawings using Catia V5, Pro Engineer Wildfire and Creo Process Engineering Change Notices in Smarteam PDM and JD Edwards software Utilized GD T and carried out tolerance stack ups on complex weldments and assemblies Utilized Catia Kinematics work bench to create and prove out various mechanical assemblies such as four bar linkages, automotive latches, and control cables Worked extensively on M-ATV and FMTV truck program proposals Worked in two person design team to design FMTV truck cab shell Designed numerous after-market armor kits in production and fielded on military trucks Extensive experience supporting prototype builds and helping production floor launch new products Surface modeling of stamped sheet metal parts and plastic parts 3D modeling in large assemblies (complete trucks). June 2006 to August 2007 Company Name City , State Project Engineer/Technical Customer Service Representative Responsible for cradle to grave design of after-market and OEM motorcycle accessories Specialized in sheet metal and tubing products 3D design using Solidworks and Inventor 2D drawings using Solidworks , AutoCAD, and Inventor Responsible for hand fabrication of prototype parts using shop and production machines Responsible for design and fabrication of all production tooling and fixtures Responsible for finish requirements of parts such as polishing, chrome, powder coating, etc. Managed production employees during prototype and production stages of projects Traveled to trade shows to receive feedback on products and assist sales staff. February 2006 to May 2006 Company Name City , State Payroll Auditor Analyze and fix payroll errors for the Chicago Public School District. Use of various computer databases. Education and Training 2005 Mount Mercy College City , State , USA Bachelor of Science : Mathematics Mathematics 2003 College of DuPage City , State , USA Associate of Science Skills 3D design, 3Dmodeling, Assembly, AutoCAD, automotive, cables, Catia, databases, JD Edwards, market, mechanical, modeling, payroll, PDM, Pro-E, Pro Engineer, Process Engineering, proposals, sales, shell, Solidworks, trade shows",DESIGNER
2,"INFORMATION TECHNOLOGY (INTERNSHIP) Summary MBA graduate specialized at a Business Management of the industries institution which crosses the fields such as healthcare, and IT to compare the optimal practices between the major players. To obtain an analyst position, utilize professional Skill and Knowledge in business. Preferably in business analyst. Skills Language: Chinese, English and Japanese Professional Skills: Microsoft Office, Excel, Power Point, Word, Outlook, SQL, Adobe Suit, Flash, Photoshop, Illustrator, 3D Max Others: PHP, Java, C , Visual Basic, HTML, Cording, Programming, Customer relationship management (CRM) ERP System, RFID, E-Commerce, Electronic Product Code (EPC) Financial Accounting, Human Resources, (HR) Business Marketing, International Trade (Import and Export) App Development SEM, analysis, QMS Statistics, Healthcare.   Experience July 2014 to September 2014 Company Name City , State Information Technology (Internship) Examined problems between users and systems. Worked at different stations of hospital, including:ER, Registration, Pharmacy, Central Sterile Supplies Department (CSSD), and Medical Supplies store room. September 2013 to December 2015 Company Name City , State Business Analyst Worked with Tourism Bureau to publish  Taiwan Hot Spring Voucher  in order to promote Taiwan. Generated 3K followers in Facebook Fan page within 3 months Built and designed official website. May 2012 to January 2015 Company Name City , State Chief Executive Officer Expand five new business sites, two located at the large- scale department stores in the country Planned for cultural events, including Simple Life Festival in Taipei and Shanghai China. Launched limited edition custom dress with bloggers, created record sales. 100 customer dresses were sold out within 4 hours. Increased sales by 25  in two quarters. September 2011 to June 2013 Company Name City , State Campus Youth E- Service Volunteer Planned summer and winter camps for kids who lack educational resources. Team lead and Recorder Education 2016 Metropolitan State University City , State , USA Business Administration and Management MBA Master of Business Administration (MBA) International Trade Organizational Behavior Finance and Accounting GPA 3.7  2015 National Taipei University of Nursing and Health Science City , State , Taiwan Information Management Bachelor of Science Bachelors of Information Management Information Technology ERP (Enterprise Resource Planning) Recruited to Top 3 Schools based on Academic Achievement 2015 Global Language Institute City , State , USA English English Dialect and Language Excelled in English Write,Read and Speak English Chose to be Graduation Speaker for the Classs GPA 3.4",INFORMATION-TECHNOLOGY
3,"GRAPHIC DESIGNER AND ILLUSTRATOR Summary I was raised in a Christian home in Jacksonville, Florida. I moved to Birmingham to attend Samford in 2012. Skill Areas Creative Relational Engaging Painting/Drawing Graphic Design Leader Athletic Team Player Work Experience Company Name September 2015 to Current Graphic Designer and Illustrator City , State A custom paper company designing primarily wedding correspondence Company Name May 2015 to August 2015 Sigma Counselor City , State Company Name June 2012 to July 2013 Counselor City , State Education Briarwood Fellows Program 2016 Post Graduate Leadership Program City , State Samford University 2015 Bachelor of Science : Fine Arts City , State Providence High School May 2011 High School Diploma City , State Interests Camp Kivu- Christian outdoor camp in Durango, Colorado, Summer of 2013 and 2014, worked as cook in kitchen staff, counseling teens, and leading mountain bike trips Nanny- 2010-2013 Bham/Campus Involvement  YoungLife Leader- Restoration Academy New Member Coordinator for Alpha Delta Pi 2013 Connections leader 2013, 2014 Step Sing show director 2014, 2015 Random Facts  I eat organic foods I have a lobstering license Avid Avett Brothers fan Skills Spanish Additional Information Camp Kivu- Christian outdoor camp in Durango, Colorado, Summer of 2013 and 2014, worked as cook in kitchen staff, counseling teens, and leading mountain bike trips Nanny- 2010-2013 Bham/Campus Involvement  YoungLife Leader- Restoration Academy New Member Coordinator for Alpha Delta Pi 2013 Connections leader 2013, 2014 Step Sing show director 2014, 2015 Random Facts  I eat organic foods I have a lobstering license Avid Avett Brothers fan",DESIGNER
4,"EDITOR Summary Detail-oriented and organized. Accurate and well versed in database management. Strong organizational, technical and analytical skills. Successfully manages multiple data entry projects at once. Goes above and beyond given job responsibilities to achieve superior results and maintain company-wide data integrity. Focused on delivering high quality results in a timely manner. Highlights Strong Financial Administration Grant Management Budget Management Goal Planning Business and Office Administration Community Outreach Team Leadership Strong problem solver Human Resources Administration Workshop and Orientation Presentations Excellent Organization Skills Editing and Proofreading Microsoft Office Products Pleasant demeanor Filing and data archiving Customer service-oriented Experience Editor Sep 2002 to Current Company Name   City , State Oversee layout, design and content of featured publications. Select relevant material for each issue, considering cost and benefit. Generate ideas for feature articles with the writing staff. Commission work by freelance and in-house writers. Manage writing staff and liaise with artists and photographers. Arrange for copyright permissions. Raise the profile of the magazine. Network and recruit for sponsorships. Ensure staff meets established deadlines. Bookkeeping Specialist Jun 2012 to Oct 2014 Company Name   City , State Financial Administration and Oversight of... Accounts receivable (A/R) and accounts payable (A/P). Insurances and contracts. Monthly records/planning/reconciliation of all bank accounts. Daily invoices and primary databases. Reimbursements and petty cash. Human resources procedures. Maintaining updated volunteer database. Contract revision. Public Relations Administrator/Bookkeeper Aug 2006 to Feb 2009 Company Name   City , State Manage public outreach, recruitment and relations with sponsoring/supporting community programs and events. Conduct group and individual information meetings. Assist potential sponsors with goal planning. Assist in identifying and addressing barriers to complete established goals. Develop and present goal setting workshops and orientations. Provide bookkeeping support while managing database and conducting relevant analysis. Project Manager (Profession Opportunity Grant for Immigration/Refugee Recipients Apr 2003 to Jan 2006 Company Name   City , State Provide resource information for potential students and participants ready for career search. Coordinate with professional organization and post-secondary education institutions to recruit and attract skilled job seekers for the grant program. Assist clients in communication with government agencies regarding Immigration/Refugee paperwork. Conduct follow-up visits with clients, assess refugee settlements, and submit progress reports. Supervise and evaluate project staff. Management of all grant-related activities including budget and spending projections. Conduct outreach, recruitment and awarding of subcontracts. Collect, direct and develop all relevant grant data. Conduct career management activities: Assessment, counseling, job development and management of support services. Education Bachelor of Art , Russian Language and Literature/Editing/Public Relations Krasnodarsky Gosudarstvennyi Universitet (Kuban State University)   City , Russia Russian Language and Literature/Editing/Public Relations Languages Bi-Lingual in English and Russian Skills Accounts payable, Accounts receivable, A/P, Bookkeeping, Budget Management, Excellent Communication, Contracts, Counseling, Clients, Databases, Editing, English, Feature Articles, Financial goal setting, Human Resources, Layout and Design, Team Leadership, Managing, meetings, Microsoft OfficeProducts, Networking, Office Administration, Organization Skills, Presentations, Proofreading, Publications, QuickBooks, Recruitment, Russian, Workshops.",PUBLIC-RELATIONS
5,"CONSULTANT Core Qualifications SKILLS AND ACTIVITIES Volunteer English Teacher for  Teach India   Challenge for Charity  SQL, SPSS, Tableau, MS Excel, Power Point. Accomplishments Evert McCabe Fellowship, Rick and Marilyn Wong Scholarship, Business Technology Club Board member Owned development, testing and maintenance of 4 mission critical Web Services that powered a Web based product that generated over  5M in annual revenue. Won  Beyond the Call of Duty  award for outstanding effort Experience 04/2015 to 04/2015 Consultant Company Name   City , State Cloud and mobile services) Create journey maps and identify touch points for different personas of application developers. Asses the capability maturity of different components within Windows, iOS, and Android development platforms. 01/2015 to 03/2015 New Product Development Consultant Company Name   City , State (hyper-converged IT Infrastructure) 06/2014 to 08/2014 Product Marketing Manager Intern, vCloud Air Company Name   City , State Identified market size, and target customer segments for a new hyper converged IT infrastructure product. Conducted competitive analysis. Proposed a product for mid-market and a Go-to-Market strategy. VMware Inc., Palo Alto, CA Summer 2014 Product Marketing Manager Intern, vCloud Air (Infrastructure as a service- IaaS) Interviewed VMware customers to discover adoption rate of vCloud Air based on use cases. Identified top 10 customer use cases of vCloud Air. Presented specific changes to fine tune targeting and positioning of vCloud Air. Analyzed win/loss interviews to identify top 8 buying criteria and top 4 ROI drivers used by potential customers to select IaaS vendor. Recommended specific changes to fine tune sales tool-kit. Developed a content strategy for VMware s IaaS case studies by eliciting buying criteria, and by bench-marking 150 IaaS case studies published by competitors such as AWS, Microsoft Azure, Rackspace, and Google. 01/2014 to 03/2014 MBA Marketing Consultant Company Name   City , State Developed a market entry plan for a new network Security Software as a Service (SaaS) product. Conducted market research and competitive analysis to identify opportunity worth  1.6B in network security space. Proposed and presented acquisition as the market entry route to the executive team. In May, F5 Networks acquired Defense.Net - a cloud based security SaaS provider. 01/2012 to 01/2013 Team Leader Company Name   City , State Client: An international chain of convenience stores) Led an agile product team of 8 consultants to develop and implement 5 core Web Services of customer loyalty software to help the client capture  600M in annual revenue. 01/2007 to 01/2012 Technology   Product Analyst Company Name   City , State Client: An American publishing and financial information firm) Owned development, testing and maintenance of 4 mission critical Web Services that powered a Web based product that generated over  5M in annual revenue. Won  Beyond the Call of Duty  award for outstanding effort. Proposed methods to speed up online financial news search feature of client s Web product and presented to Vice President of Technology, resulting in a project win worth  0.9M for Infosys. Developed a software to filter out redundant information from enterprise databases, eliminated manual processes and saved  550K per annum for the client. Received highest client satisfaction rating for the project. Education Master of Business Administration : Business Technology The Michael G. Foster School of Business, University of Washington   City , State , US The Michael G. Foster School of Business, University of Washington, Seattle, WA June 2015 Candidate for Master of Business Administration Evert McCabe Fellowship, Rick and Marilyn Wong Scholarship, Business Technology Club Board member Bachelor of Engineering : Computer Science Manipal Institute of Technology, Manipal University Manipal Institute of Technology, Manipal University, Manipal, India May 2007 Bachelor of Engineering, Computer Science Founder of DISHA - a socio-economic platform for the underprivileged students. Co-founder   first general secretary of RED X - the largest student club of the university. Professional Affiliations Evert McCabe Fellowship, Rick and Marilyn Wong Scholarship, Business Technology Club Board member Skills Web Services, Award, Databases, Maintenance, Publishing, Satisfaction, Testing, Web Based, It Infrastructure, Excel, Ms Excel, Spss, Sql, Competitive Analysis, Marketing, New Product Development, Product Development, Transmissions, Aws, Buying, Buying/procurement, Cases, Drivers, Iaas, Product Marketing, Roi, Sales, Use Cases, Vmware, Market Research, Mba, Network Security, Saas, Security, Software As A Service, Android, Ios, Red X, Secretary",CONSULTANT
6,"SLEEP TECHNOLOGIST, RPSGT Summary Healthcare professional with more than ten years  experience seeking an opportunity where I can utilize my skills and knowledge in multiple healthcare settings to have a positive impact impact on patient outcomes. Looking for a work setting in health information management and technology where my previous training in HIPPA Privacy and Security, performance improvement and quality assurance will help position me for career advancement. Highlights Member of AHIMA Member of ILHIMA Member of HIMSS Member of HFMA More than ten years healthcare experience CPR Certified Need minimal supervision Analytical Critical EHR experience Skills Works proficiently with minimal supervision, fluent communication skills demonstrated daily through interactions with various patient and family demographics, CPR certified, critical thinking while working independently in a patient diagnostic sleep lab, disease management, inventory control by managing waste and reducing duplicate testing, medical terminology, Windows OS, patient evaluation, patient preparation, problem solving, strategic planning, oxygen education and therapy, equipment troubleshooting. Accomplishments Interscore Relability Testing 92  average (expected 85 ). Obtained my Registered Polysomnographic Technologist license in 01/2015. Graduated Valedictorian Hannibal La-Grange University in 2000. Experience Sleep Technologist, RPSGT 12/2015 to Current Company Name City , State Polysomnogram preparation and set up, diagnostic testing,. PAP and oxygen titration studies, monitoring and scoring complete patient. studies using AASM standards, Interscore Reliability Testing 92  average (expected 85 ), CPR. certified, data transfers, Windows OS, work diligently with minimal supervision in a 1:2 technologist to patient ratio. Neurophysiology Technician, RPSGT 01/2009 to 11/2015 Company Name City , State Performing EEG and LTM. Measuring in 10-20, patient preparation and education, monitor and note abnormalities. Sleep study preparation   set up, prepare   calibrate equipment prior to testing, following AASM protocol for MSLT, MWT, PAP and oxygen studies, assist with scoring sleep studies, fluent communication skills, sharp critical thinking skills, diligently work with minimal supervision. Billing patients in outpatient sleep center. Healthcare Specialist, CRT 09/2005 to 12/2008 Company Name City , State Clinical patient evaluation in home setting, implement disease management programs, respiratory   sleep equipment set up and education, fluent communication skills, sharp critical thinking skills, diligently work with minimal supervision. Education May, 2000 Hannibal La-Grange University City , State Applied Associates Degree of Science Respiratory Therapy Graduate as Valedictorian of Respiratory Therapy Class  Winner of John Rodgers Memorial Scholarship Bachelor of Science : Healthcare Information Management   Technology 1999 2017 University of Wisconsin City , State Healthcare Information Management   Technology Skills Billing, communication skills, CPR Certified, CPR certified, critical thinking, disease management, EHR experience, inventory control, managing, medical terminology, Windows OS, Works, patient evaluation, patient preparation, problem solving, Respiratory Therapy, strategic planning, supervision, therapy, troubleshooting",HEALTHCARE
7,"LABORER Career Focus Looking for an entry level job with challenges. Nolan has excellent communications skills, works well with others, while skillfully making independent decisions. Looking for a long term job to better myself. Accomplishments Captain of high school Football and Baseball 2014-2015 Lettered Varsity Football 4 years Lettered Varsity Baseball 3 years Lettered Varsity Track 1 year Voted Most Athletic by classmates 2015 First Team All Region Football 2014 Second Team All Conference Football 2014 Skills Dependable Fast Learner Trustworthy Hard working Experience 08/2016 to 12/2016 Company Name   City , State Aided in Aircraft mechanics, aircraft clean up, and restoration. 02/2016 to 05/2016 Laborer Company Name   City , State Categorized livestock to be sold at auction. Worked with live animals in livestock pens and with auctioneers. In charge of loading and unloading livestock. 06/2014 to 08/2014 Laborer Company Name   City , State Part time summer worker in charge of general labor and maintenance of parts and inventory. Education HVAC New River Community College   City , State , USA 2015 Advance Diploma Rural Retreat High School   City , State , USA Certifications CDL Class A Learners Pesticide Applicator Certificate Boating Safety Course Certificate Hunter Safety Course Certificate",AVIATION
8,"BUSINESS DEVELOPMENT INTERN Summary Highly skilled and organized individual who has won employee of the month a lot of times with an infectious enthusiasm to work in fast paced environment. Highlights Focused and disciplined High volume production capability Bilingual (English/Twi) Healthy cuisine expert Exceptional written and oral communication abilities Experience Dietary Aide , 09/2013 to Current Company Name   City , State Collaborated extensively with interdisciplinary care team to meet the nutritional needs of each resident. Devised meal plans in line with patients  age, gender, diagnosis, cultural background and religious practices. Conducted daily inspections and maintained food sanitation and kitchen equipment safety reports. Advised new cooking techniques and equipment to kitchen staff. Chef , 05/2013 to 08/2013 Company Name   City , State Identified opportunities to increase revenue, decrease kitchen expenses and maximize departmental productivity without compromising guest satisfaction. Served classic English, French and modern European. Collaborated closely with the Food and Beverage Director to conduct staff meetings and resolve service, product and personnel issues Kitchen Manager , 08/2008 to 04/2013 Company Name   City , State Operated large-volume cooking equipment such as grills, deep-fat fryers and griddles. Tremendously increased sales after becoming the manager. Monitored customer preferences to determine focus of sales efforts. Directed and supervised employees engaged in sales, food preparation Determined staff promotions and demotions, and terminated employees when necessary. Up-sold additional menu items, beverages and desserts to increase restaurant profits. Education CURLINARY , 1999 Kumasi Polytechnic   City , GHANA Coursework in Culinary Arts Coursework in Business and Restaurant Management CURLINARY , 1990 SUNYANI POLYTECHNIC   City , GHANA Coursework in Culinary Arts Skills Proficient with large cooking machines Great culinary skills Organizational skills Highly motivated",BUSINESS-DEVELOPMENT
9,"E-COMMERCE SUPERVISOR Summary I am seeking a challenging position in management, where I can apply my experience to a company s objective and profits. I have a discipline approach to the task at hand and the ability to anticipate potential obstacles, which is contributed to a strong record of excellence for getting the job done safely. I am an optimistic   quick learner, I am safety conscious and have excellent organizational and multitasking aptitude. I currently plan and lead individuals in order to complete daily tasks in a timely and safe manner. Highlights Qualified to operate and train individuals on various equipment. Proficient in Microsoft Office Proficient in Exeter WMS Strategic planning Troubleshooting and problem solving Flexible Dedicated Experience E-commerce Supervisor , 02/2015 to Current Company Name Plan and manage daily workload. Lead and develop employees through teamwork and create continuous improvement through employee engagement that supports the companies values. Continually looking for ways to improve quality, safety, and productivity and communicating those ideas throughout the network. Currently helping to organize and lead the Safety Committee Co-Owner , 01/2006 to 01/2010 Company Name Develop and manage projects and budgets Experience in Real-estate law and procedures, contact with city offices, screen and select qualified renters. I continue to buy/renovate and rent out homes without a business name. E-commerce Coordinator , 03/2003 to 02/2015 Continuously directing and leading individuals to complete the objective. Sharp organizational skills preparing work assignments. Fostering teamwork by being enthusiastic and having a positive energy. Agriculture Worker , 01/1998 to 01/2007 State Manage   maintain heavy farm equipment. skills gained- responsibility, flexibility, self-determination and confidence. Education and Training Electrical/Electronics Engineering Technology, AAS Presently attending Owens Community College - City , State GPA: 3.93 2012 Active Participant in the 5S program 2010 Owens Community College - Toledo OH -Photovoltaic Certification 2007 Training Assistant Position Workshop 2006 Online/Phone course for Mentors of America 2004 Participated in Best Buy Lean Team Graduate : 1998 Riverdale High School Skills attention to detail, continuous improvement, logistics, excel, power point, word, network, internet research, organizational skills, , safety, teamwork",AGRICULTURE
10,"CONSULTANT Executive Profile Visionary and genetically upbeat executive with experience managing multiple projects all levels including budgeting and administration. Focused on employee participation and the well being of each stakeholder. Skill Highlights Process Improvements Financial Analysis Human Resources Public Relations Compliance / Accountability Writing manuals Core Accomplishments Managing businesses: two restaurants with 50 employees, 5 managers and 1.8M in sales. Managing in transition: dry stack marina operations during a  20M renovation Managing a crisis: death on business premise and ensuing OSHA investigation that resulted in no liability attributed to the owner because of processes and documentation of workers on premise that I initiated Managing marketing campaigns: conceived multiple PR campaigns that resulted in local and national media coverage Professional Experience Consultant January 2005 to Current Company Name   City , State Helping business owners and managers improve profits and the employee experience using  Lean  principals and DiSC Personality Assessment. Built business on referrals from existing clients: primarily business owners in their first ownership venture. Helped clients manage time, money and relationships to improve profits and their shareholder s experiences. Helped transform people s working lives. Skills Used : diplomacy, consensus building, research, patience, humility, sales, morale building, and public relations. Achievements : Improved foot traffic by 59 , reduced spending by 1.5 , reduced accounts receivable by 29 , reduced employee frustration and lowered unnecessary employee turnover. President / General Manager January 1992 to January 2005 Company Name   City , State Casual dining restaurant concept with 2 locations, 50 employees, 1.8M in annual sales. Conceived, built and operated a restaurant business. Used principles incorporated at Toyota (Lean Manufacturing) and Coke-a-Cola (DiSC Personality Assessment) to improve profits, operations and the customer experience. Built strategic marketing partnerships with Sprint, Mini USA and Radiant Systems. Marketed business through  Community Service Marketing  through 32 local schools and charities annually. Skills: financial management, process development, customer loyalty, strategic partnership development, employee recognition program development, on boarding program creation. Accomplishments: Public Relations projects were featured Wall Street Journal, Boston Globe and AJC Improved profits and reduced employee turnover using  Lean  principles and DiSC Personality Assessment. Sold business in 2005. Business Development Manager January 1991 to January 1992 Company Name   City , State Sold bank services to local merchants and businesses Addressed market verticals by repackaging existing banking products to appeal to specific industry concerns. Skills : Customer Service Prospecting Sales Relationship maintenance, building Marketing Sales training Accomplishments : Won  Accurate  Sales Contest 1992 Best sales of new product for all of southern Manhattan. Sales Representative January 1989 to January 1992 Company Name   City Outside Sales Representative: managed existing business while growing territory by selling medical X-ray film to new hospitals, doctor s offices and X-ray film dealers dealers. Skills : Customer Service relationship building entertaining clients and selling. Accomplishments : Increased territory sales by 600  in first year. Won company wide advertising idea contest for writing a print advertisement the company later published in a trade magazine. Education Certificate : Six Sigma: Green Belt , 2006 Villanova University   City , State , USA Bachelor of Arts (BA) : History , 1987 Iona College   City , State Certifications Serve Save Certified GA Insurance License:Health/Life, P C DiSC Personality Assessment (Distributor) QuickBooks Pro Adviser High Ropes Course Instructor Leadership Roles XLT Atlanta- ( Producer, Volunteer Coordinator (30 Volunteers) Catholic Charities of Atlanta Leadership Class 2013-14- Participant and fund raiser Camp Twin Lakes- fund raiser, event coordinator, high ropes course volunteer Sandy Springs Festival- Road Race chairman Leadership Sandy Springs- graduate and board member Chef Skins Game (fundraiser for Boys and Girls  Clubs) board member. All Saints Catholic Church-Usher, lector, teacher and mentor to Youth Ministers  Sandwich Program for the Homeless (for secondary schools)- Creator and presenter  How to Get and Keep a Job  one hour program for high school students creator and presenter Skills Applying  Lean  Principles to various businesses Writing manuals, job descriptions, press releases, company news letters Presenting, public speaking Grass Roots Marketing Event / Project Management Turning chaos into order Using resources on hand before spending Social Media marketing Real Time Marketing",CONSULTANT
